type,id,bnf_code,nm,chem_count
amp,34681611000001100,0301011ABBBAAA0,Trimbow 87micrograms/dose / 5micrograms/dose / 9micrograms/dose inhaler (Chiesi Ltd),3
amp,3175711000001102,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (A A H Pharmaceuticals Ltd),1
amp,3175911000001100,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (Mylan),1
amp,3176711000001105,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (Kent Pharmaceuticals Ltd),1
amp,3177111000001107,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd),1
amp,4773611000001100,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (Teva UK Ltd),1
amp,11400011000001108,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (Almus Pharmaceuticals Ltd),1
amp,17793411000001101,0302000C0AAAAAA,Beclometasone 50micrograms/dose inhaler (Phoenix Healthcare Distribution Ltd),1
amp,3178211000001102,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (A A H Pharmaceuticals Ltd),1
amp,3178411000001103,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (Mylan),1
amp,3179011000001102,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd),1
amp,4773811000001101,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (Teva UK Ltd),1
amp,7379111000001102,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (Kent Pharmaceuticals Ltd),1
amp,11400511000001100,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (Almus Pharmaceuticals Ltd),1
amp,17794111000001108,0302000C0AAABAB,Beclometasone 100micrograms/dose inhaler (Phoenix Healthcare Distribution Ltd),1
amp,3179811000001108,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (A A H Pharmaceuticals Ltd),1
amp,3180011000001102,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (Mylan),1
amp,3180911000001103,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd),1
amp,4774011000001109,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (Teva UK Ltd),1
amp,7379311000001100,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (Kent Pharmaceuticals Ltd),1
amp,11400811000001102,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (Almus Pharmaceuticals Ltd),1
amp,17833911000001100,0302000C0AAACAC,Beclometasone 250micrograms/dose inhaler (Phoenix Healthcare Distribution Ltd),1
amp,4332611000001107,0302000C0AAARAR,Beclometasone 200micrograms/dose inhaler (A A H Pharmaceuticals Ltd),1
amp,15052211000001104,0302000C0AAARAR,Beclometasone 200micrograms/dose inhaler (Sigma Pharmaceuticals Plc),1
