type,id,bnf_code,nm,form_route
amp,2936511000001108,0304010A0BBAAAA,Semprex 8mg capsules (GlaxoSmithKline UK Ltd),capsule.oral
amp,2937311000001104,0304010A0BCAAAA,Benadryl Allergy Relief 8mg capsules (McNeil Products Ltd),capsule.oral
amp,875411000001108,0304010A0BCABAC,Benadryl Allergy Relief Plus Decongestant capsules (McNeil Products Ltd),capsule.oral
amp,4540511000001105,0304010AGBBAAAA,Zaditen 1mg capsules (Novartis Pharmaceuticals UK Ltd),capsule.oral
amp,36451211000001102,0304010F0AAAEAE,Brompheniramine 12mg capsules (Special Order),capsule.oral
amp,20344111000001109,0304010I0BEAEAD,Benadryl Allergy Liquid Release 10mg capsules (McNeil Products Ltd),capsule.oral
amp,8748011000001100,0603010I0AAAJAJ,Fludrocortisone 50microgram capsules (Special Order),capsule.oral
amp,8748411000001109,0603020F0AAAKAK,Cortisone 5mg capsules (Special Order),capsule.oral
amp,24569711000001102,0603020G0AABYBY,Dexamethasone 10mg capsules (Special Order),capsule.oral
amp,31138811000001105,0603020G0AACECE,Dexamethasone 400microgram capsules (Special Order),capsule.oral
amp,15524111000001100,0603020J0AAA5A5,Hydrocortisone 2.5mg capsules (Special Order),capsule.oral
amp,3807811000001103,0105020A0BCAAAC,Budenofalk 3mg gastro-resistant capsules (Dr. Falk Pharma UK Ltd),capsulegastro-resistant.oral
amp,3765811000001105,0105020A0BBAAAA,Entocort CR 3mg capsules (Tillotts Pharma Ltd),capsulemodified-release.oral
amp,22171311000001107,0304010F0BCAAAD,Dimegan 12mg modified-release capsules (Imported (France)),capsulemodified-release.oral
amp,375111000001101,0107020J0BBAAAA,Anugesic HC cream (Pfizer Ltd),cream.cutaneous
amp,279511000001103,1304000V0AAACAC,Hydrocortisone 0.5% cream (Kent Pharmaceuticals Ltd),cream.cutaneous
amp,300411000001105,1304000V0AAACAC,Hydrocortisone 0.5% cream (A A H Pharmaceuticals Ltd),cream.cutaneous
amp,424011000001105,1304000V0AAACAC,Hydrocortisone 0.5% cream (Actavis UK Ltd),cream.cutaneous
amp,882311000001100,1304000V0AAACAC,Hydrocortisone 0.5% cream (Alliance Healthcare (Distribution) Ltd),cream.cutaneous
amp,912211000001103,1304000V0AAACAC,Hydrocortisone 0.5% cream (The Boots Company Plc),cream.cutaneous
amp,4193011000001109,1304000V0AAACAC,Hydrocortisone 0.5% cream (Teva UK Ltd),cream.cutaneous
amp,14943211000001105,1304000V0AAACAC,Hydrocortisone 0.5% cream (Essential Generics Ltd),cream.cutaneous
amp,17921511000001103,1304000V0AAACAC,Hydrocortisone 0.5% cream (Phoenix Healthcare Distribution Ltd),cream.cutaneous
amp,22043111000001103,1304000V0AAACAC,Hydrocortisone 0.5% cream (Waymade Healthcare Plc),cream.cutaneous
amp,24150111000001105,1304000V0AAACAC,Hydrocortisone 0.5% cream (DE Pharmaceuticals),cream.cutaneous
amp,29871611000001103,1304000V0AAACAC,Hydrocortisone 0.5% cream (Sigma Pharmaceuticals Plc),cream.cutaneous
amp,37087611000001107,1304000V0AAACAC,Hydrocortisone 0.5% cream (Mawdsley-Brooks & Company Ltd),cream.cutaneous
amp,131211000001103,1304000V0AAADAD,Hydrocortisone 1% cream (Alliance Healthcare (Distribution) Ltd),cream.cutaneous
amp,561211000001104,1304000V0AAADAD,Hydrocortisone 1% cream (Kent Pharmaceuticals Ltd),cream.cutaneous
amp,623911000001105,1304000V0AAADAD,Hydrocortisone 1% cream (A A H Pharmaceuticals Ltd),cream.cutaneous
amp,723111000001100,1304000V0AAADAD,Hydrocortisone 1% cream (Actavis UK Ltd),cream.cutaneous
amp,745111000001101,1304000V0AAADAD,Hydrocortisone 1% cream (Vantage),cream.cutaneous
amp,4193211000001104,1304000V0AAADAD,Hydrocortisone 1% cream (Teva UK Ltd),cream.cutaneous
amp,7932411000001105,1304000V0AAADAD,Hydrocortisone 1% cream (Lloyds Pharmacy Ltd),cream.cutaneous
amp,13623011000001104,1304000V0AAADAD,Hydrocortisone 1% cream (Pinewood Healthcare),cream.cutaneous
amp,13662511000001108,1304000V0AAADAD,Hydrocortisone 1% cream (Numark Ltd),cream.cutaneous
amp,14943511000001108,1304000V0AAADAD,Hydrocortisone 1% cream (Essential Generics Ltd),cream.cutaneous
amp,17200011000001107,1304000V0AAADAD,Hydrocortisone 1% cream (Sovereign Medical Ltd),cream.cutaneous
amp,17921811000001100,1304000V0AAADAD,Hydrocortisone 1% cream (Phoenix Healthcare Distribution Ltd),cream.cutaneous
amp,18282711000001102,1304000V0AAADAD,Hydrocortisone 1% cream (Strides Pharma UK Ltd),cream.cutaneous
amp,20324211000001100,1304000V0AAADAD,Hydrocortisone 1% cream (Genesis Pharmaceuticals Ltd),cream.cutaneous
amp,22454211000001100,1304000V0AAADAD,Hydrocortisone 1% cream (Waymade Healthcare Plc),cream.cutaneous
amp,24150511000001101,1304000V0AAADAD,Hydrocortisone 1% cream (DE Pharmaceuticals),cream.cutaneous
amp,29872011000001102,1304000V0AAADAD,Hydrocortisone 1% cream (Sigma Pharmaceuticals Plc),cream.cutaneous
amp,30206711000001104,1304000V0AAADAD,Hydrocortisone 1% cream (Mawdsley-Brooks & Company Ltd),cream.cutaneous
amp,112311000001108,1304000V0AAAFAF,Hydrocortisone 2.5% cream (A A H Pharmaceuticals Ltd),cream.cutaneous
amp,253211000001100,1304000V0AAAFAF,Hydrocortisone 2.5% cream (Kent Pharmaceuticals Ltd),cream.cutaneous
amp,886611000001106,1304000V0AAAFAF,Hydrocortisone 2.5% cream (Alliance Healthcare (Distribution) Ltd),cream.cutaneous
amp,4193611000001102,1304000V0AAAFAF,Hydrocortisone 2.5% cream (Teva UK Ltd),cream.cutaneous
amp,14943911000001101,1304000V0AAAFAF,Hydrocortisone 2.5% cream (Essential Generics Ltd),cream.cutaneous
amp,17922711000001101,1304000V0AAAFAF,Hydrocortisone 2.5% cream (Phoenix Healthcare Distribution Ltd),cream.cutaneous
amp,22043311000001101,1304000V0AAAFAF,Hydrocortisone 2.5% cream (Waymade Healthcare Plc),cream.cutaneous
amp,24151411000001109,1304000V0AAAFAF,Hydrocortisone 2.5% cream (DE Pharmaceuticals),cream.cutaneous
amp,29872711000001100,1304000V0AAAFAF,Hydrocortisone 2.5% cream (Sigma Pharmaceuticals Plc),cream.cutaneous
amp,30209411000001103,1304000V0AAAFAF,Hydrocortisone 2.5% cream (Mawdsley-Brooks & Company Ltd),cream.cutaneous
amp,33337711000001100,1304000V0AACFCF,"Nystatin 100,000units/g / Chlorhexidine hydrochloride 1% / Hydrocortisone 0.5% cream (Typharm Ltd)",cream.cutaneous
amp,34838411000001106,1304000V0AACFCF,"Nystatin 100,000units/g / Chlorhexidine hydrochloride 1% / Hydrocortisone 0.5% cream (Alliance Healthcare (Distribution) Ltd)",cream.cutaneous
amp,34895211000001109,1304000V0AACFCF,"Nystatin 100,000units/g / Chlorhexidine hydrochloride 1% / Hydrocortisone 0.5% cream (A A H Pharmaceuticals Ltd)",cream.cutaneous
amp,645811000001104,1304000V0BBAAAW,Dioderm 0.1% cream (Dermal Laboratories Ltd),cream.cutaneous
amp,151811000001101,1304000V0BDAAAC,Efcortelan 0.5% cream (Chemidex Pharma Ltd),cream.cutaneous
amp,575811000001106,1304000V0BDABAD,Efcortelan 1% cream (Chemidex Pharma Ltd),cream.cutaneous
amp,703211000001100,1304000V0BFAAAD,Zenoxone 1% cream (Teva UK Ltd),cream.cutaneous
amp,674411000001103,1304000V0BKABCG,Econacort cream (Bristol-Myers Squibb Pharmaceuticals Ltd),cream.cutaneous
